x, eta, H, ksi, tau, qb
0.00000000,10.15411128,5.82288641,15.97699769,0.45303823,0.00012239
833.00000000,9.83464469,6.08478430,15.91942899,0.43445241,0.00011408
1666.00000000,9.66777802,6.19675979,15.86453782,0.41638951,0.00010620
2499.00000000,9.50090774,6.31207070,15.81297844,0.39889132,0.00009874
3332.00000000,9.33403758,6.43053756,15.76457515,0.38198926,0.00009171
4165.00000000,9.16717075,6.55198226,15.71915301,0.36570526,0.00008511
4998.00000000,9.00030986,6.67622994,15.67653980,0.35005272,0.00007892
5831.00000000,8.83345698,6.80311056,15.63656754,0.33503755,0.00007313
6664.00000000,8.66661370,6.93246002,15.59907372,0.32065922,0.00006772
7497.00000000,8.49978115,7.06412102,15.56390217,0.30691176,0.00006268
8330.00000000,8.33296010,7.19794363,15.53090373,0.29378470,0.00005799
9163.00000000,8.16615099,7.33378567,15.49993666,0.28126398,0.00005364
9996.00000000,7.99935399,7.47151280,15.47086679,0.26933269,0.00004959
10829.00000000,7.83256905,7.61099862,15.44356767,0.25797179,0.00004584
11662.00000000,7.66579597,7.75212447,15.41792044,0.24716068,0.00004236
12495.00000000,7.49903440,7.89477929,15.39381368,0.23687775,0.00003914
13328.00000000,7.33228390,8.03885932,15.37114322,0.22710075,0.00003615
14161.00000000,7.16554399,8.18426780,15.34981179,0.21780718,0.00003339
14994.00000000,6.99881411,8.33091463,15.32972874,0.20897459,0.00003084
15827.00000000,6.83209370,8.47871601,15.31080970,0.20058077,0.00002847
16660.00000000,6.66538218,8.62759403,15.29297621,0.19260395,0.00002628
17493.00000000,6.49867898,8.77747638,15.27615536,0.18502296,0.00002426
18326.00000000,6.33198355,8.92829593,15.26027948,0.17781730,0.00002238
19159.00000000,6.16529533,9.07999038,15.24528572,0.17096721,0.00002065
19992.00000000,5.99861382,9.23250197,15.23111579,0.16445376,0.00001904
20825.00000000,5.83193852,9.38577710,15.21771562,0.15825885,0.00001755
21658.00000000,5.66526896,9.53976607,15.20503503,0.15236520,0.00001618
22491.00000000,5.49860471,9.69442278,15.19302749,0.14675641,0.00001490
23324.00000000,5.33194535,9.84970447,15.18164982,0.14141689,0.00001372
24157.00000000,5.16529050,10.00557143,15.17086194,0.13633190,0.00001263
24990.00000000,4.99863982,10.16198685,15.16062667,0.13148747,0.00001162
25823.00000000,4.83199296,10.31891650,15.15090946,0.12687040,0.00001068
26656.00000000,4.66534963,10.47632863,15.14167825,0.12246825,0.00000981
27489.00000000,4.49870954,10.63419369,15.13290323,0.11826927,0.00000900
28322.00000000,4.33207244,10.79248424,15.12455668,0.11426240,0.00000825
29155.00000000,4.16543808,10.95117475,15.11661283,0.11043720,0.00000756
29988.00000000,3.99880625,11.11024145,15.10904770,0.10678386,0.00000691
30821.00000000,3.83217675,11.26966220,15.10183895,0.10329313,0.00000632
31654.00000000,3.66554938,11.42941640,15.09496578,0.09995632,0.00000576
32487.00000000,3.49892399,11.58948482,15.08840881,0.09676523,0.00000525
33320.00000000,3.33230041,11.74984954,15.08214995,0.09371217,0.00000478
34153.00000000,3.16567849,11.91049383,15.07617232,0.09078987,0.00000433
34986.00000000,2.99905811,12.07140206,15.07046017,0.08799153,0.00000393
35819.00000000,2.83243915,12.23255964,15.06499878,0.08531071,0.00000355
36652.00000000,2.66582149,12.39395291,15.05977439,0.08274137,0.00000320
37485.00000000,2.49920502,12.55556910,15.05477413,0.08027783,0.00000287
38318.00000000,2.33258966,12.71739628,15.04998594,0.07791472,0.00000257
39151.00000000,2.16597532,12.87942323,15.04539854,0.07564699,0.00000229
39984.00000000,1.99936191,13.04163946,15.04100137,0.07346989,0.00000204
40817.00000000,1.83274936,13.20403515,15.03678451,0.07137893,0.00000180
41650.00000000,1.66613760,13.36660105,15.03273865,0.06936989,0.00000158
42483.00000000,1.49952657,13.52932850,15.02885506,0.06743877,0.00000138
43316.00000000,1.33291619,13.69220936,15.02512555,0.06558183,0.00000120
44149.00000000,1.16630643,13.85523598,15.02154240,0.06379550,0.00000103
44982.00000000,0.99969721,14.01840116,15.01809837,0.06207645,0.00000088
45815.00000000,0.83308849,14.18169813,15.01478662,0.06042150,0.00000074
46648.00000000,0.66648022,14.34512053,15.01160075,0.05882765,0.00000061
47481.00000000,0.49987233,14.50866236,15.00853469,0.05729210,0.00000049
48314.00000000,0.33326479,14.67231796,15.00558275,0.05581216,0.00000039
49147.00000000,0.16665751,14.83608203,15.00273954,0.05438530,0.00000030
49980.00000000,0.00005043,14.99994957,15.00000000,0.05300914,0.00000022
