x, eta, H, tau, qb
0.00000000,126.64142775,0.73700006,0.21151184,0.01115948
100.00000000,125.22082590,0.73701621,0.21150103,0.01115838
200.00000000,123.80043153,0.73703236,0.21149021,0.01115728
300.00000000,122.38003715,0.73704850,0.21147941,0.01115618
400.00000000,120.95984994,0.73706463,0.21146861,0.01115508
500.00000000,119.53966273,0.73708073,0.21145783,0.01115399
600.00000000,118.11968219,0.73709682,0.21144706,0.01115289
700.00000000,116.69970166,0.73711287,0.21143632,0.01115180
800.00000000,115.27992710,0.73712891,0.21142558,0.01115071
900.00000000,113.86015255,0.73714489,0.21141489,0.01114962
1000.00000000,112.44058306,0.73716087,0.21140419,0.01114853
1100.00000000,111.02101359,0.73717677,0.21139356,0.01114745
1200.00000000,109.60164810,0.73719266,0.21138292,0.01114637
1300.00000000,108.18228261,0.73720846,0.21137235,0.01114529
1400.00000000,106.76311981,0.73722426,0.21136178,0.01114422
1500.00000000,105.34395702,0.73723995,0.21135129,0.01114315
1600.00000000,103.92499542,0.73725563,0.21134080,0.01114208
1700.00000000,102.50603385,0.73727119,0.21133039,0.01114103
1800.00000000,101.08727177,0.73728675,0.21131999,0.01113997
1900.00000000,99.66850972,0.73730216,0.21130968,0.01113892
2000.00000000,98.24994530,0.73731758,0.21129937,0.01113787
2100.00000000,96.83138090,0.73733283,0.21128917,0.01113683
2200.00000000,95.41301205,0.73734809,0.21127897,0.01113580
2300.00000000,93.99464323,0.73736317,0.21126889,0.01113477
2400.00000000,92.57646772,0.73737825,0.21125880,0.01113375
2500.00000000,91.15829223,0.73739315,0.21124885,0.01113273
2600.00000000,89.74030759,0.73740804,0.21123889,0.01113172
2700.00000000,88.32232299,0.73742273,0.21122907,0.01113072
2800.00000000,86.90452661,0.73743742,0.21121925,0.01112973
2900.00000000,85.48673026,0.73745190,0.21120958,0.01112874
3000.00000000,84.06911932,0.73746637,0.21119991,0.01112776
3100.00000000,82.65150842,0.73748062,0.21119039,0.01112679
3200.00000000,81.23407994,0.73749486,0.21118087,0.01112582
3300.00000000,79.81665149,0.73750886,0.21117152,0.01112487
3400.00000000,78.39940230,0.73752286,0.21116216,0.01112392
3500.00000000,76.98215314,0.73753660,0.21115299,0.01112299
3600.00000000,75.56507989,0.73755034,0.21114381,0.01112206
3700.00000000,74.14800669,0.73756381,0.21113481,0.01112114
3800.00000000,72.73110588,0.73757728,0.21112581,0.01112023
3900.00000000,71.31420511,0.73759046,0.21111701,0.01111933
4000.00000000,69.89747306,0.73760365,0.21110820,0.01111844
