x, eta, H, tau, qb
0.00000000,117.50455564,0.73789404,0.21091440,0.01109875
100.00000000,116.08968061,0.73880922,0.21030528,0.01103694
200.00000000,114.68646871,0.73972990,0.20969504,0.01097513
300.00000000,113.28326385,0.74065486,0.20908451,0.01091341
400.00000000,111.89171308,0.74158541,0.20847284,0.01085170
500.00000000,110.50017649,0.74251944,0.20786146,0.01079012
600.00000000,109.12027393,0.74345918,0.20724892,0.01072855
700.00000000,107.74039274,0.74440156,0.20663725,0.01066718
800.00000000,106.37211450,0.74534973,0.20602441,0.01060581
900.00000000,105.00386483,0.74629969,0.20541302,0.01054471
1000.00000000,103.64717598,0.74725551,0.20480047,0.01048361
1100.00000000,102.29052292,0.74821225,0.20418994,0.01042283
1200.00000000,100.94537748,0.74917491,0.20357825,0.01036205
1300.00000000,99.60027502,0.75013757,0.20296918,0.01030164
1400.00000000,98.26661595,0.75110621,0.20235895,0.01024124
1500.00000000,96.93300700,0.75207390,0.20175193,0.01018128
1600.00000000,95.61076618,0.75304762,0.20114375,0.01012132
1700.00000000,94.28858252,0.75401942,0.20053938,0.01006185
1800.00000000,92.97768073,0.75499727,0.19993386,0.01000239
1900.00000000,91.66684305,0.75597218,0.19933275,0.00994348
2000.00000000,90.36719001,0.75695318,0.19873050,0.00988457
2100.00000000,89.06760789,0.75793021,0.19813327,0.00982626
2200.00000000,87.77910229,0.75891331,0.19753490,0.00976797
2300.00000000,86.49067424,0.75989139,0.19694215,0.00971033
2400.00000000,85.21320375,0.76087553,0.19634829,0.00965270
2500.00000000,83.93581724,0.76185356,0.19576065,0.00959578
2600.00000000,82.66925856,0.76283762,0.19517192,0.00953888
2700.00000000,81.40279006,0.76381445,0.19459001,0.00948274
2800.00000000,80.14700900,0.76479727,0.19400703,0.00942661
2900.00000000,78.89132405,0.76577171,0.19343148,0.00937130
3000.00000000,77.64617558,0.76675208,0.19285489,0.00931601
3100.00000000,76.40112885,0.76772292,0.19228632,0.00926159
3200.00000000,75.16645718,0.76869959,0.19171675,0.00920718
3300.00000000,73.93189257,0.76966554,0.19115580,0.00915370
3400.00000000,72.70753125,0.77063724,0.19059387,0.00910023
3500.00000000,71.48328196,0.77159700,0.19004116,0.00904774
3600.00000000,70.26905398,0.77256239,0.18948751,0.00899526
3700.00000000,69.05494263,0.77351461,0.18894368,0.00894381
3800.00000000,67.85066058,0.77447233,0.18839894,0.00889237
3900.00000000,66.64649932,0.77541563,0.18786460,0.00884201
4000.00000000,65.45196544,0.77636429,0.18732941,0.00879167
4100.00000000,64.25755611,0.77729724,0.18680519,0.00874245
4200.00000000,63.07256249,0.77823540,0.18628017,0.00869325
4300.00000000,61.88769672,0.77915657,0.18576670,0.00864522
4400.00000000,60.71202546,0.78008276,0.18525246,0.00859721
4500.00000000,59.53648487,0.78099067,0.18475035,0.00855042
4600.00000000,58.36990822,0.78190340,0.18424753,0.00850365
4700.00000000,57.20346456,0.78279654,0.18375739,0.00845813
4800.00000000,56.04574512,0.78369430,0.18326659,0.00841264
4900.00000000,54.88816047,0.78457116,0.18278902,0.00836846
5000.00000000,53.73905137,0.78545241,0.18231086,0.00832429
5100.00000000,52.59007834,0.78631144,0.18184646,0.00828147
5200.00000000,51.44932347,0.78717462,0.18138152,0.00823868
5300.00000000,50.30870538,0.78801427,0.18093089,0.00819727
5400.00000000,49.17603961,0.78885782,0.18047977,0.00815589
5500.00000000,48.04351076,0.78967653,0.18004347,0.00811594
5600.00000000,46.91866013,0.79049888,0.17960674,0.00807601
5700.00000000,45.79394600,0.79129507,0.17918535,0.00803754
5800.00000000,44.67662803,0.79209465,0.17876358,0.00799911
5900.00000000,43.55944555,0.79286677,0.17835765,0.00796217
6000.00000000,42.44936946,0.79364200,0.17795140,0.00792526
6100.00000000,41.33942727,0.79438849,0.17756146,0.00788989
6200.00000000,40.23629426,0.79513781,0.17717127,0.00785455
6300.00000000,39.13329298,0.79585714,0.17679784,0.00782077
6400.00000000,38.03679653,0.79657900,0.17642424,0.00778703
6500.00000000,36.94042905,0.79726964,0.17606784,0.00775489
6600.00000000,35.85025522,0.79796252,0.17571132,0.00772278
6700.00000000,34.76020700,0.79862299,0.17537244,0.00769230
6800.00000000,33.67603472,0.79928540,0.17503350,0.00766185
6900.00000000,32.59198413,0.79991423,0.17471261,0.00763307
7000.00000000,31.51348555,0.80054470,0.17439172,0.00760432
7100.00000000,30.43510418,0.80114048,0.17408927,0.00757725
7200.00000000,29.36194499,0.80173761,0.17378687,0.00755022
7300.00000000,28.28889799,0.80229896,0.17350329,0.00752491
7400.00000000,27.22073779,0.80286138,0.17321982,0.00749963
7500.00000000,26.15268422,0.80338699,0.17295550,0.00747608
7600.00000000,25.08917685,0.80391340,0.17269136,0.00745258
7700.00000000,24.02577006,0.80440201,0.17244670,0.00743083
7800.00000000,22.96656401,0.80489117,0.17220227,0.00740912
7900.00000000,21.90745199,0.80534160,0.17197762,0.00738919
8000.00000000,20.85219077,0.80579233,0.17175324,0.00736930
8100.00000000,19.79701658,0.80620348,0.17154893,0.00735120
