x, eta, H, tau, qb
0.00000000,98.16137392,0.73892854,0.21022605,0.01102891
100.00000000,96.75309222,0.74089589,0.20892583,0.01089739
200.00000000,95.36966180,0.74288863,0.20762050,0.01076589
300.00000000,93.98626236,0.74489989,0.20631483,0.01063488
400.00000000,92.62765386,0.74693758,0.20500393,0.01050389
500.00000000,91.26910807,0.74898930,0.20369599,0.01037374
600.00000000,89.93522925,0.75106838,0.20238273,0.01024360
700.00000000,88.60144530,0.75315671,0.20107578,0.01011463
800.00000000,87.29214123,0.75527322,0.19976345,0.00998568
900.00000000,85.98296431,0.75739393,0.19846077,0.00985822
1000.00000000,84.69801808,0.75954352,0.19715268,0.00973079
1100.00000000,83.41323108,0.76169199,0.19585756,0.00960516
1200.00000000,82.15236496,0.76386991,0.19455705,0.00947956
1300.00000000,80.89168960,0.76604116,0.19327277,0.00935607
1400.00000000,79.65456664,0.76824226,0.19198315,0.00923261
1500.00000000,78.41766508,0.77043096,0.19071296,0.00911155
1600.00000000,77.20389113,0.77264976,0.18943752,0.00899052
1700.00000000,75.99036801,0.77485025,0.18818461,0.00887216
1800.00000000,74.79949419,0.77708089,0.18692657,0.00875384
1900.00000000,73.60889910,0.77928722,0.18569403,0.00863843
2000.00000000,72.44042468,0.78152357,0.18445654,0.00852308
2100.00000000,71.27225502,0.78372953,0.18324737,0.00841086
2200.00000000,70.12563059,0.78596519,0.18203344,0.00829871
2300.00000000,68.97933487,0.78816437,0.18085050,0.00818990
2400.00000000,67.85396597,0.79039272,0.17966303,0.00808115
2500.00000000,66.72894734,0.79257854,0.17850903,0.00797594
2600.00000000,65.62419833,0.79479283,0.17735076,0.00787080
2700.00000000,64.51981854,0.79695862,0.17622821,0.00776934
2800.00000000,63.43501674,0.79915201,0.17510168,0.00766797
2900.00000000,62.35060035,0.80129109,0.17401293,0.00757042
3000.00000000,61.28504039,0.80345671,0.17292049,0.00747296
3100.00000000,60.21987913,0.80556245,0.17186763,0.00737944
3200.00000000,59.17282756,0.80769350,0.17081141,0.00728600
3300.00000000,58.12618498,0.80975939,0.16979631,0.00719658
3400.00000000,57.09688492,0.81184923,0.16877820,0.00710727
3500.00000000,56.06800108,0.81386898,0.16780250,0.00702202
3600.00000000,55.05567698,0.81591119,0.16682412,0.00693689
3700.00000000,54.04377331,0.81787878,0.16588918,0.00685586
3800.00000000,53.04763577,0.81986724,0.16495190,0.00677494
3900.00000000,52.05191985,0.82177704,0.16405881,0.00669814
4000.00000000,51.07117036,0.82370605,0.16316374,0.00662147
4100.00000000,50.09084080,0.82555285,0.16231333,0.00654889
4200.00000000,49.12467645,0.82741715,0.16146127,0.00647644
4300.00000000,48.15892758,0.82919627,0.16065409,0.00640805
4400.00000000,47.20654559,0.83099115,0.15984558,0.00633979
4500.00000000,46.25457206,0.83269846,0.15908191,0.00627555
4600.00000000,45.31517420,0.83441981,0.15831722,0.00621143
4700.00000000,44.37617540,0.83605180,0.15759707,0.00615126
4800.00000000,43.44897210,0.83769615,0.15687619,0.00609121
4900.00000000,42.52215634,0.83924997,0.15619932,0.00603501
5000.00000000,41.60637063,0.84081451,0.15552198,0.00597895
5100.00000000,40.69095904,0.84228799,0.15488790,0.00592663
5200.00000000,39.78583006,0.84377062,0.15425360,0.00587444
5300.00000000,38.88106017,0.84516226,0.15366160,0.00582587
5400.00000000,37.98584645,0.84656158,0.15306960,0.00577743
5500.00000000,37.09097547,0.84787058,0.15251876,0.00573248
5600.00000000,36.20495779,0.84918588,0.15196811,0.00568767
5700.00000000,35.31926542,0.85041208,0.15145732,0.00564621
5800.00000000,34.44174927,0.85164333,0.15094689,0.00560487
5900.00000000,33.56454024,0.85278720,0.15047488,0.00556674
6000.00000000,32.69485793,0.85393499,0.15000337,0.00552873
6100.00000000,31.82546401,0.85499759,0.14956874,0.00549378
6200.00000000,30.96297631,0.85606310,0.14913472,0.00545894
6300.00000000,30.10075798,0.85704601,0.14873594,0.00542700
6400.00000000,29.24485539,0.85803096,0.14833786,0.00539518
6500.00000000,28.38920311,0.85893623,0.14797332,0.00536609
6600.00000000,27.53930673,0.85984278,0.14760955,0.00533712
6700.00000000,26.68964171,0.86067286,0.14727758,0.00531073
6800.00000000,25.84520368,0.86150357,0.14694643,0.00528444
6900.00000000,25.00097838,0.86226123,0.14664533,0.00526058
7000.00000000,24.16148196,0.86301899,0.14634507,0.00523682
7100.00000000,23.32218010,0.86370724,0.14607311,0.00521533
7200.00000000,22.48713943,0.86439515,0.14580200,0.00519394
7300.00000000,21.65227571,0.86501720,0.14555747,0.00517467
7400.00000000,20.82123518,0.86563855,0.14531380,0.00515549
7500.00000000,19.99035465,0.86619769,0.14509503,0.00513829
