Position, Depth, FlowVelocity, ShearStress, BedElevation, WaterSurfaceElev
123000.00000,  30.00000,   0.19000,   0.07459,   0.00000,  30.00000
122000.00000,  29.75023,   0.19160,   0.07584,   0.25000,  30.00023
121000.00000,  29.50046,   0.19322,   0.07713,   0.50000,  30.00046
120000.00000,  29.25069,   0.19487,   0.07846,   0.75000,  30.00069
119000.00000,  29.00094,   0.19655,   0.07981,   1.00000,  30.00094
118000.00000,  28.75119,   0.19825,   0.08121,   1.25000,  30.00119
117000.00000,  28.50144,   0.19999,   0.08264,   1.50000,  30.00144
116000.00000,  28.25171,   0.20176,   0.08410,   1.75000,  30.00171
115000.00000,  28.00198,   0.20356,   0.08561,   2.00000,  30.00198
114000.00000,  27.75226,   0.20539,   0.08716,   2.25000,  30.00226
113000.00000,  27.50254,   0.20725,   0.08875,   2.50000,  30.00254
112000.00000,  27.25283,   0.20915,   0.09038,   2.75000,  30.00283
111000.00000,  27.00314,   0.21109,   0.09206,   3.00000,  30.00314
110000.00000,  26.75345,   0.21306,   0.09379,   3.25000,  30.00345
109000.00000,  26.50376,   0.21506,   0.09556,   3.50000,  30.00376
108000.00000,  26.25409,   0.21711,   0.09739,   3.75000,  30.00409
107000.00000,  26.00443,   0.21919,   0.09927,   4.00000,  30.00443
106000.00000,  25.75478,   0.22132,   0.10120,   4.25000,  30.00478
105000.00000,  25.50513,   0.22348,   0.10319,   4.50000,  30.00513
104000.00000,  25.25550,   0.22569,   0.10524,   4.75000,  30.00550
103000.00000,  25.00588,   0.22795,   0.10735,   5.00000,  30.00588
102000.00000,  24.75627,   0.23024,   0.10953,   5.25000,  30.00627
101000.00000,  24.50667,   0.23259,   0.11177,   5.50000,  30.00667
100000.00000,  24.25709,   0.23498,   0.11408,   5.75000,  30.00709
99000.00000,  24.00752,   0.23743,   0.11647,   6.00000,  30.00752
98000.00000,  23.75796,   0.23992,   0.11893,   6.25000,  30.00796
97000.00000,  23.50841,   0.24247,   0.12147,   6.50000,  30.00841
96000.00000,  23.25889,   0.24507,   0.12409,   6.75000,  30.00889
95000.00000,  23.00937,   0.24773,   0.12679,   7.00000,  30.00937
94000.00000,  22.75987,   0.25044,   0.12959,   7.25000,  30.00987
93000.00000,  22.51039,   0.25322,   0.13248,   7.50000,  30.01039
92000.00000,  22.26093,   0.25605,   0.13546,   7.75000,  30.01093
91000.00000,  22.01148,   0.25896,   0.13855,   8.00000,  30.01148
