x, eta, depth, slope, bedload_discharge
-35145.21374897,16.80082481,4.29854946,0.00020535,0.00060000
-30887.95306152,15.92661546,4.29854946,0.00020485,0.00059919
-26630.69237407,15.05665959,4.30554403,0.00020385,0.00059434
-22373.43168662,14.19096781,4.31260196,0.00020285,0.00058949
-18116.17099917,13.32952268,4.31967724,0.00020185,0.00058468
-13858.91031172,12.47227802,4.32672150,0.00020088,0.00057994
-9601.64962428,11.61915847,4.33368430,0.00019992,0.00057529
-5344.38893683,10.77005920,4.34051351,0.00019899,0.00057078
-1087.12824938,9.92484596,4.34715578,0.00019810,0.00056644
3170.13243807,9.08335536,4.35355705,0.00019725,0.00056228
7427.39312552,8.24539541,4.35966319,0.00019644,0.00055836
11684.65381297,7.41074643,4.36542065,0.00019569,0.00055468
15941.91450041,6.57916222,4.37077722,0.00019500,0.00055129
20199.17518786,5.75037161,4.37568279,0.00019438,0.00054821
24456.43587531,4.92408020,4.38009015,0.00019383,0.00054546
28713.69656276,4.09997256,4.38395580,0.00019336,0.00054306
32970.95725021,3.27771459,4.38724074,0.00019297,0.00054103
37228.21793766,2.45695619,4.38991117,0.00019266,0.00053938
41485.47862510,1.63733420,4.39193920,0.00019243,0.00053814
45742.73931255,0.81847544,4.39330338,0.00019230,0.00053730
50000.00000000,0.00000000,4.39398915,0.00009000,0.00053689
