x, eta, qb, H, tau
   0.00000,  10.37033,   0.00096,   3.57420,   1.54753
1348.71048,   9.88856,   0.00093,   3.60042,   1.52507
2697.42096,   9.42771,   0.00090,   3.62820,   1.50181
4046.13144,   8.96742,   0.00086,   3.65694,   1.47830
5394.84193,   8.52812,   0.00083,   3.68728,   1.45406
6743.55241,   8.08986,   0.00079,   3.71885,   1.42949
8092.26289,   7.67271,   0.00076,   3.75210,   1.40427
9440.97337,   7.25700,   0.00072,   3.78686,   1.37860
10789.68385,   6.86257,   0.00069,   3.82339,   1.35238
12138.39433,   6.46986,   0.00066,   3.86181,   1.32561
13487.10481,   6.09870,   0.00062,   3.90208,   1.29839
14835.81530,   5.72939,   0.00059,   3.94469,   1.27049
16184.52578,   5.38197,   0.00056,   3.98926,   1.24226
17533.23626,   5.03642,   0.00053,   4.03675,   1.21321
18881.94674,   4.71316,   0.00049,   4.08628,   1.18397
20230.65722,   4.39165,   0.00046,   4.13948,   1.15374
21579.36770,   4.09293,   0.00043,   4.19479,   1.12351
22928.07818,   3.79563,   0.00040,   4.25477,   1.09206
24276.78867,   3.52177,   0.00038,   4.31685,   1.06087
25625.49915,   3.24876,   0.00035,   4.38500,   1.02815
26974.20963,   3.00000,   0.00032,   4.45511,   0.99605
26989.20963,   0.00000,   0.02034,   1.94268,   5.23835
