Position_normalized, Position, Bedload_discharge, Bed_slope, Bed_elevation_change_nondimensional, Bed_elevation_change, Bankfull_channel_width, Bankfull_channel_depth, Bed_elevation_1000.0_years, Bed_elevation_4000.0_years
0.00000000,0.00000000,1.43493228,0.00020367,0.00012142,48.56992280,611.94520197,3.76716385,58.56992280,88.56992280
0.05000000,20000.00000000,1.37698835,0.00019544,0.00011145,44.57880965,587.23427191,3.92568682,54.57880965,84.57880965
0.10000000,40000.00000000,1.31904441,0.00018722,0.00010188,40.75218251,562.52334185,4.09813721,50.75218251,80.75218251
0.15000000,60000.00000000,1.26110048,0.00017899,0.00009273,37.09004136,537.81241179,4.28643480,47.09004136,77.09004136
0.20000000,80000.00000000,1.20315655,0.00017077,0.00008398,33.59238622,513.10148173,4.49286919,43.59238622,73.59238622
0.25000000,100000.00000000,1.14521262,0.00016255,0.00007565,30.25921708,488.39055167,4.72019336,40.25921708,70.25921708
0.30000000,120000.00000000,1.08726869,0.00015432,0.00006773,27.09053394,463.67962161,4.97174716,37.09053394,67.09053394
0.35000000,140000.00000000,1.02932475,0.00014610,0.00006022,24.08633679,438.96869155,5.25162246,34.08633679,64.08633679
0.40000000,160000.00000000,0.97138082,0.00013787,0.00005312,21.24662565,414.25776149,5.56488750,31.24662565,61.24662565
0.45000000,180000.00000000,0.91343689,0.00012965,0.00004643,18.57140051,389.54683143,5.91789653,28.57140051,58.57140051
0.50000000,200000.00000000,0.85549296,0.00012142,0.00004015,16.06066137,364.83590136,6.31872530,26.06066137,56.06066137
0.55000000,220000.00000000,0.79754903,0.00011320,0.00003429,13.71440823,340.12497130,6.77779650,23.71440823,53.71440823
0.60000000,240000.00000000,0.73960509,0.00010498,0.00002883,11.53264109,315.41404124,7.30879904,21.53264109,51.53264109
0.65000000,260000.00000000,0.68166116,0.00009675,0.00002379,9.51535995,290.70311118,7.93007626,19.51535995,49.51535995
0.70000000,280000.00000000,0.62371723,0.00008853,0.00001916,7.66256482,265.99218112,8.66678799,17.66256482,47.66256482
0.75000000,300000.00000000,0.56577330,0.00008030,0.00001494,5.97425568,241.28125106,9.55440106,15.97425568,45.97425568
0.80000000,320000.00000000,0.50782937,0.00007208,0.00001113,4.45043254,216.57032100,10.64456953,14.45043254,44.45043254
0.85000000,340000.00000000,0.44988543,0.00006385,0.00000773,3.09109541,191.85939094,12.01555905,13.09109541,43.09109541
0.90000000,360000.00000000,0.39194150,0.00005563,0.00000474,1.89624427,167.14846088,13.79191784,11.89624427,41.89624427
0.95000000,380000.00000000,0.33399757,0.00004741,0.00000216,0.86587913,142.43753082,16.18462372,10.86587913,40.86587913
1.00000000,400000.00000000,0.27605364,0.00003918,0.00000000,0.00000000,117.72660076,19.58179227,10.00000000,40.00000000
